r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.5365502385568452,1,0,"-0.1965 * mul(add(diff(u1,x1),x1),diff(mul(x1,x1),x1))","mul,add,diff,u1,x1,x1,diff,mul,x1,x1,x1",2.163178123136423,False
0.53631106868919,1,0,"-0.3959 * diff(mul(x1,u1),x1) + -0.0007 * diff2(n2(u1),x1)","add,diff,mul,x1,u1,x1,diff2,n2,u1,x1",2.072900134563107,False
0.5360276550705155,1,0,"-0.3817 * mul(add(n3(u1),diff(u1,x1)),x1)","mul,add,n3,u1,diff,u1,x1,x1",2.172396590720971,False
0.5359119850759748,1,0,"-0.0002 * diff2(mul(mul(n2(u1),u1),x1),x1) + -0.4047 * mul(diff(u1,x1),x1)","add,diff2,mul,mul,n2,u1,u1,x1,x1,mul,diff,u1,x1,x1",2.0797248304458056,False
0.5358448825299287,1,0,"-0.3959 * mul(x1,add(add(u1,diff(u1,x1)),x1))","mul,x1,add,add,u1,diff,u1,x1,x1",2.175629609735232,False
0.5357543463704945,1,0,"0.1714 * n3(u1) + -0.3939 * diff(mul(x1,u1),x1)","add,n3,u1,diff,mul,x1,u1,x1",2.0824264925204568,False
0.5357543463704945,1,0,"-0.3939 * diff(mul(x1,u1),x1) + 0.1714 * n3(u1)","add,diff,mul,x1,u1,x1,n3,u1",2.0824264925204568,False
0.5356894155838835,1,0,"0.0436 * n3(u1) + -0.4023 * mul(x1,diff(u1,x1))","add,n3,u1,mul,x1,diff,u1,x1",2.0835402694590686,False
0.5356434358905797,1,0,"-0.1386 * mul(x1,add(diff(u1,x1),diff(n2(u1),x1)))","mul,x1,add,diff,u1,x1,diff,n2,u1,x1",2.1791982942973567,False
0.5356434358905797,1,0,"-0.0693 * mul(add(diff(n2(u1),x1),diff(u1,x1)),diff(n2(x1),x1))","mul,add,diff,n2,u1,x1,diff,u1,x1,diff,n2,x1,x1",2.1791982942973567,False
0.5355010719641606,1,0,"0.0029 * diff2(mul(u1,n3(mul(x1,n2(x1)))),x1) + -0.4011 * mul(diff(u1,x1),x1)","add,diff2,mul,u1,n3,mul,x1,n2,x1,x1,mul,diff,u1,x1,x1",2.0867741971238227,False
